,site_survey_id,creek_code.x,site.x,survey_date.x,survey_type.x,channel_width.x,reach_length_bankfull.x,upstream_length.x,SITE_ID,survey_year.x,QC_visit.x,SITE.x,CREEK_CODE.x,TERRA_PROV,AQUA_PROV,HU_12_NAME,COUNTY,STATES,SUBREGION,REGION,BASIN,SUBBASIN,pebs_measured,n_fines,n_bedrock,n_pebble,n_cobble,n_boulder,perc_fines,perc_bedrock,perc_pebble,perc_cobble,perc_boulder,D16,D50,D84,Rowid.x,elev_min,elev_max,relief,elev_mean,elev_std,elev_median,OBJECTID.y,CREEK_CODE.y,SITE.y,area_sqkm.x,slope_min,slope_max,slope_range,slope_mean,slope_std,slope_median,slope23d_perc_greater,area_greater_slope23d,COMID.x,CreekCode.x,REGIONID.x,WSAREASQKM,SANDWS,CLAYWS,ELEVWS,WETINDEXWS,KFFACTWS,AGKFFACTWS,BFIWS,PCTGLACLAKEFINEWS,PCTGLACTILCLAYWS,PCTGLACTILLOAMWS,PCTNONCARBRESIDWS,PCTCOASTCRSWS,PCTGLACLAKECRSWS,PCTEXTRUVOLWS,PCTEOLFINEWS,PCTEOLCRSWS,PCTGLACTILCRSWS,PCTSILICICWS,PCTSALLAKEWS,PCTCARBRESIDWS,PCTALLUVCOASTWS,PCTALKINTRUVOLWS,PCTWATERWS,PCTHYDRICWS,PCTCOLLUVSEDWS,RUNOFFWS,RDCRSWS,RDCRSSLPWTDWS,TMAX8110WS,TMIN8110WS,PRECIP8110WS,TMEAN8110WS,COMPSTRGTHWS,NWS,HYDRLCONDWS,MGOWS,K2OWS,AL2O3WS,NA2OWS,SIO2WS,CAOWS,P2O5WS,SWS,FE2O3WS,PERMWS,WTDEPWS,RCKDEPWS,OMWS,RDDENSWS,PRECIP08WS,TMEAN08WS,TMEAN09WS,PRECIP09WS,REGIONID.y,WSAREASQKMRP100,RDDENSWSRP100,stream_gradient,stream_slope,dom_geology,channel_freq,creek_code.y,reach_length_surveyed,OBJECTID.x.x,CREEK_CODE,SITE,area_sqkm.y,COMID.y,CreekCode.y,RL,VBA,SWA,CatArea,VBL,VBL_RL_R,VBA_RWA_R,inWtrbdy,Confinement,bankfull_mean,mean_ad,mean_cc,mean_ddi,X,site_id.x,survey_year.y,reach_length,frequency_km,aggr_pieces_km,aggr_perc_km,vol_km,site_id.y,high_flow_count,usgs_site,distance_m,distance_km,creek_code,site.y,survey_date.y,survey_type.y,channel_width.y,reach_length_bankfull.y,upstream_length.y,main_or_trib.y,survey_year,QC_visit.y,survey_date2,survey_date3
1,2010CAASH1002,CAASH,2,7/8/2010 0:00,Regular,8.7,200,200,CAASH0002,2010,N,2,CAASH,NA,High Cascades,Upper Ash Creek,NA,CA,Sacramento,California Region,Upper Sacramento,McCloud,103,68,0,20,13,101,66.02,0,19.42,12.62,98.06,1,1,34.04,582,1759,3349,1590,2287.246325,325.8803878,2234,582,CAASH,2,6.748171454,0.675206006,48.73103714,48.05583113,15.40044566,8.019849819,13.42150879,15.7829148,1.065058151,7960681,CAASH,Region18,15.5772,59.35116651,7.381566905,1942.8779,730.2321,0.1885,0,75.9418,0,0,0,0,0,0,8.74,0,0,50.58,0,0,0,40.68,0,0,0,0,439,0.0096,0.0319,12.33411038,0.345852023,1381.485619,6.342232819,16.7046,0.7744,52.2542,1.0703,1.544,9.9981,1.094,34.7161,1.5998,0.1294,0.0563,26.8283,20.94067945,179.6666247,135.5686584,0.967355558,1.8593,919.5939584,6.448084236,6.616063338,1253.328862,Region18,2.2842,2.1336,0.06644792,0.05986517,Igneous volcanic,2,CAASH,200,582,CAASH,2,6.748171454,7960681,CAASH,10.185,1869300,96654.82104,15577200,3.564439882,0.349969552,19.33995614,0,Mod Confined,8.401,138.530506,54.04371446,4.162463871,1112,CAASH0002,2010,200,45,10,22.22,166.93,CAASH0002,11,11367500,23011.59905,23.01159905,CAASH,2,7/8/2010 0:00,Regular,8.7,200,200,TRIB,2010,N,7/8/2010,7/8/2010
2,2010CAASH1005,CAASH,5,7/8/2010 0:00,Regular,8.4,200,200,CAASH0005,2010,N,5,CAASH,NA,High Cascades,Upper Ash Creek,NA,CA,Sacramento,California Region,Upper Sacramento,McCloud,103,36,0,23,32,91,34.95,0,22.33,31.07,88.35,0.031,50,173.6,584,1814,4295,2481,2678.529714,600.8254064,2536,584,CAASH,5,8.248330914,0,54.69921112,54.69921112,23.42389837,9.774972168,23.92340088,52.86519052,4.360495852,7960675,CAASH,Region18,48.0618,52.36357047,9.88330512,2109.304,735.1702,0.1999,0,76.1281,0,0,0,0,0,0,24.66,0,0,45.7,0,0,0,29.64,0,0,0,0,439,0.0062,0.0134,11.34115858,-0.613835594,1381.462522,5.366091916,37.2563,0.6488,39.0548,1.535,1.5603,10.9645,1.4922,38.3195,2.4268,0.152,0.0467,23.8454,11.54920995,182.0986379,128.8290184,0.691619415,1.6895,872.1191212,5.957312284,6.10260232,1147.685987,Region18,5.4171,1.9917,0.07996909,0.09713445,Unconsolidated,1,CAASH,200,584,CAASH,5,8.248330914,7960675,CAASH,8.935,2263500,127189.673,42047100,5.380823812,0.602218669,17.79625615,0,Unconfined,11.201,155.3998208,50.90498358,4.080387205,1113,CAASH0005,2010,200,20,0,0,39.3,CAASH0005,11,11367500,23712.11916,23.71211916,CAASH,5,7/8/2010 0:00,Regular,8.4,200,200,MAINSTEM,2010,N,7/8/2010,7/8/2010
3,2010CAASH1007,CAASH,7,7/9/2010 0:00,Regular,0.8,160,160,CAASH0007,2010,N,7,CAASH,NA,High Cascades,Upper Ash Creek,NA,CA,Sacramento,California Region,Upper Sacramento,McCloud,105,99,0,6,0,105,94.29,0,5.71,0,100,0.031,1,1,553,1673,4293,2620,2175.912458,412.9727533,2050,553,CAASH,7,20.62594278,0,43.24596024,43.24596024,10.09721609,6.394529768,8.697657585,5.885955244,1.214033761,7960665,CAASH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03536227,0.05049628,Unconsolidated,1,CAASH,160,553,CAASH,7,20.62594278,7960665,CAASH,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.126,146.9707309,49.59314196,4.26719256,1114,CAASH0007,2010,160,25,0,0,103.74,CAASH0007,7,11367500,25847.80854,25.84780854,CAASH,7,7/9/2010 0:00,Regular,0.8,160,160,TRIBUTARY,2010,N,7/9/2010,7/9/2010
4,2010CAASH1014,CAASH,14,7/12/2010 0:00,Regular,7.9,160,160,CAASH0014,2010,N,14,CAASH,NA,High Cascades,Upper Ash Creek,NA,CA,Sacramento,California Region,Upper Sacramento,McCloud,105,57,0,37,11,105,54.29,0,35.24,10.48,100,0.031,1,41,581,1539,4295,2756,2187.125154,600.2010459,1999,581,CAASH,14,18.99805717,0,54.69921112,54.69921112,14.59792147,10.53733663,11.179986,22.97812056,4.365396481,7960675,CAASH,Region18,48.0618,52.36357047,9.88330512,2109.304,735.1702,0.1999,0,76.1281,0,0,0,0,0,0,24.66,0,0,45.7,0,0,0,29.64,0,0,0,0,439,0.0062,0.0134,11.34115858,-0.613835594,1381.462522,5.366091916,37.2563,0.6488,39.0548,1.535,1.5603,10.9645,1.4922,38.3195,2.4268,0.152,0.0467,23.8454,11.54920995,182.0986379,128.8290184,0.691619415,1.6895,872.1191212,5.957312284,6.10260232,1147.685987,Region18,5.4171,1.9917,0.02975133,0.03991218,Unconsolidated,1,CAASH,160,581,CAASH,14,18.99805717,7960675,CAASH,8.935,2263500,127189.673,42047100,5.380823812,0.602218669,17.79625615,0,Unconfined,6.683,119.2715847,53.46266337,4.15503571,1115,CAASH0014,2010,160,18.75,0,0,84.23,CAASH0014,11,11367500,23588.86762,23.58886762,CAASH,14,7/12/2010 0:00,Regular,7.9,160,160,TRIBUTARY,2010,N,7/12/2010,7/12/2010
5,2010CAASH1016,CAASH,16,7/10/2010 0:00,Regular,9,200,200,CAASH0016,2010,N,16,CAASH,NA,High Cascades,Upper Ash Creek,NA,CA,Sacramento,California Region,Upper Sacramento,McCloud,105,57,0,32,12,101,54.29,0,30.48,11.43,96.19,1,1,54.72,579,1620,3349,1729,2122.999405,352.2431425,2053,579,CAASH,16,10.62730961,0.675206006,48.73103714,48.05583113,12.64004947,7.741193254,10.86011124,10.04692546,1.067717875,7960681,CAASH,Region18,15.5772,59.35116651,7.381566905,1942.8779,730.2321,0.1885,0,75.9418,0,0,0,0,0,0,8.74,0,0,50.58,0,0,0,40.68,0,0,0,0,439,0.0096,0.0319,12.33411038,0.345852023,1381.485619,6.342232819,16.7046,0.7744,52.2542,1.0703,1.544,9.9981,1.094,34.7161,1.5998,0.1294,0.0563,26.8283,20.94067945,179.6666247,135.5686584,0.967355558,1.8593,919.5939584,6.448084236,6.616063338,1253.328862,Region18,2.2842,2.1336,0.07093897,0.06672329,Igneous volcanic,1,CAASH,200,579,CAASH,16,10.62730961,7960681,CAASH,10.185,1869300,96654.82104,15577200,3.564439882,0.349969552,19.33995614,0,Mod Confined,7.073,126.7596811,54.56184738,4.216928806,1116,CAASH0016,2010,200,50,20,40,121.19,CAASH0016,11,11367500,22514.9401,22.5149401,CAASH,16,7/10/2010 0:00,Regular,9,200,200,TRIB,2010,N,7/10/2010,7/10/2010
6,2010CAASH1018,CAASH,18,7/9/2010 0:00,Regular,5.6,160,160,CAASH0018,2010,N,18,CAASH,NA,High Cascades,Upper Ash Creek,NA,CA,Sacramento,California Region,Upper Sacramento,McCloud,105,63,0,28,13,104,60,0,26.67,12.38,99.05,1,1,37.04,552,1792,4293,2501,2457.541044,436.2561278,2377,552,CAASH,18,8.804180064,1.067520261,43.24596024,42.17843997,14.03600016,6.925410102,12.04828262,12.97784693,1.142593012,7960665,CAASH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073457225,0.07319023,Unconsolidated,1,CAASH,160,552,CAASH,18,8.804180064,7960665,CAASH,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.821,172.6495374,49.73891315,4.24642305,1117,CAASH0018,2010,160,6.25,0,0,4.42,CAASH0018,11,11367500,26771.1685,26.7711685,CAASH,18,7/9/2010 0:00,Regular,5.6,160,160,TRIBUTARY,2010,N,7/9/2010,7/9/2010
7,2010CAASH1021,CAASH,21,7/10/2010 0:00,Regular,9.6,200,200,CAASH0021,2010,N,21,CAASH,NA,High Cascades,Upper Ash Creek,NA,CA,Sacramento,California Region,Upper Sacramento,McCloud,105,66,0,27,10,103,62.86,0,25.71,9.52,98.1,0.031,1,39.72,580,1644,3349,1705,2137.117858,347.640754,2065,580,CAASH,21,10.31881108,0.675206006,48.73103714,48.05583113,12.87704651,7.731584119,11.08264446,10.3472955,1.067717875,7960681,CAASH,Region18,15.5772,59.35116651,7.381566905,1942.8779,730.2321,0.1885,0,75.9418,0,0,0,0,0,0,8.74,0,0,50.58,0,0,0,40.68,0,0,0,0,439,0.0096,0.0319,12.33411038,0.345852023,1381.485619,6.342232819,16.7046,0.7744,52.2542,1.0703,1.544,9.9981,1.094,34.7161,1.5998,0.1294,0.0563,26.8283,20.94067945,179.6666247,135.5686584,0.967355558,1.8593,919.5939584,6.448084236,6.616063338,1253.328862,Region18,2.2842,2.1336,0.060547325,0.07040383,Igneous volcanic,1,CAASH,200,580,CAASH,21,10.31881108,7960681,CAASH,10.185,1869300,96654.82104,15577200,3.564439882,0.349969552,19.33995614,0,Mod Confined,8.282,127.8453486,54.4713668,4.208466756,1118,CAASH0021,2010,200,85,55,64.71,353.92,CAASH0021,11,11367500,22546.41509,22.54641509,CAASH,21,7/10/2010 0:00,Regular,9.6,200,200,TRIB,2010,N,7/10/2010,7/10/2010
8,2010CAASH1022,CAASH,22,7/11/2010 0:00,Regular,8.1,200,200,CAASH0022,2010,N,22,CAASH,NA,High Cascades,Upper Ash Creek,NA,CA,Sacramento,California Region,Upper Sacramento,McCloud,104,36,1,40,18,94,34.62,0.96,38.46,17.31,90.38,1,20,118.8,583,1737,4295,2558,2626.859782,617.2267114,2494,583,CAASH,22,8.778081613,0,54.69921112,54.69921112,22.59946792,10.06039196,22.95197105,49.67481558,4.360495853,7960675,CAASH,Region18,48.0618,52.36357047,9.88330512,2109.304,735.1702,0.1999,0,76.1281,0,0,0,0,0,0,24.66,0,0,45.7,0,0,0,29.64,0,0,0,0,439,0.0062,0.0134,11.34115858,-0.613835594,1381.462522,5.366091916,37.2563,0.6488,39.0548,1.535,1.5603,10.9645,1.4922,38.3195,2.4268,0.152,0.0467,23.8454,11.54920995,182.0986379,128.8290184,0.691619415,1.6895,872.1191212,5.957312284,6.10260232,1147.685987,Region18,5.4171,1.9917,0.07929916,0.0873422,Unconsolidated,1,CAASH,200,583,CAASH,22,8.778081613,7960675,CAASH,8.935,2263500,127189.673,42047100,5.380823812,0.602218669,17.79625615,0,Unconfined,10.145,146.8783719,50.07562964,3.988354185,1119,CAASH0022,2010,200,25,10,40,48.06,CAASH0022,11,11367500,23817.40425,23.81740425,CAASH,22,7/11/2010 0:00,Regular,8.1,200,200,TRIB,2010,N,7/11/2010,7/11/2010
9,2010CAASH1032,CAASH,32,7/13/2010 0:00,Regular,2.4,160,160,CAASH0032,2010,N,32,CAASH,NA,High Cascades,Upper Ash Creek,NA,CA,Sacramento,California Region,Upper Sacramento,McCloud,105,77,0,28,0,105,73.33,0,26.67,0,100,0.031,1,11,551,1732,4293,2561,2416.008037,450.3839423,2343,551,CAASH,32,9.415776915,1.067520261,43.24596024,42.17843997,13.5558921,6.980909709,11.63010502,12.13487769,1.142593012,7960665,CAASH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.060702525,0.07319023,Unconsolidated,1,CAASH,160,551,CAASH,32,9.415776915,7960665,CAASH,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.283,164.0861079,50.94813376,4.329886587,1120,CAASH0032,2010,160,31.25,0,0,101.57,CAASH0032,11,11367500,26788.29772,26.78829772,CAASH,32,7/13/2010 0:00,Regular,2.4,160,160,TRIBUTARY,2010,N,7/13/2010,7/13/2010
10,2015CABER1001,CABER,1,6/21/2015 9:24,Regular,0,0,0,CABER0001,2015,N,1,CABER,Klamath,Klamath/Siskiyou,West Fork Beaver Creek,Siskiyou,"CA,OR",Klamath-Northern California Coastal,California Region,Klamath,Upper Klamath,288,23,0,239,26,288,7.99,0,82.99,9.03,100,7,20,49,765,1674,1985,311,1836.483461,71.91517024,1839,765,CABER,1,0.353418046,5.730255604,23.58638191,17.85612631,13.56109266,4.074254563,13.77120209,0.482308433,0.001704565,361493,CABER,Region18,9.5985,44.73232068,17.07853352,1488.3111,648.9124,0.2559,0,63.6391,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100.2402,0.0094,0.0568,13.52555288,3.547980828,1078.338177,8.538758809,72.6396,0.0449,0.0912,5.4509,0.9663,13.8819,2.2921,52.853,6.4489,0.1832,0.1257,9.8672,6.601133615,180.1403966,98.59558275,2.236444444,3.1698,857.115344,7.897062483,8.058237694,770.332296,Region18,0.9765,2.1518,0.25033736,0.30553022,Metamorphic Schist,1,CABER,160,765,CABER,1,0.353418046,361493,CABER,4.38,0,24956.75406,9598500,0,0,0,0,Confined,2.024,171.7171476,63.97480782,6.052300862,2014,CABER0001,2015,160,31.25,0,0,136.81,CABER0001,32,14362000,18655.46359,18.65546359,CABER,1,6/21/2015 9:24,Regular,0,0,0,,2015,N,6/21/2015,6/21/2015
