X,SITE_ID,fire_year,Incid_Name,Ig_Date,rank.x,X.x.x,OBJECTID.x,survey_year.x,site_survey_id,QC_visit.x,pf_survey,YPF,fire_site_id,rank.y,ignition_date,ppc_burned_perc,ppc_himod_perc,ppc_burned_sqkm,ppc_himod_sqkm,ppc_area_sqkm,rip_burned_perc,rip_himod_perc,rip_burned_sqkm,rip_himod_sqkm,rip_area_sqkm,reach_burned_perc,reach_himod_perc,reach_burned_sqkm,reach_himod_sqkm,reach_area_sqkm,ppc_burn_ratio,rip_burn_ratio,reach_burn_ratio,SITE.x,CREEK_CODE.x,TERRA_PROV,AQUA_PROV,HU_12_NAME,COUNTY,STATES,SUBREGION,REGION,BASIN,SUBBASIN,pebs_measured,n_fines,n_bedrock,n_pebble,n_cobble,n_boulder,perc_fines,perc_bedrock,perc_pebble,perc_cobble,perc_boulder,D16,D50,D84,Rowid.x,elev_min,elev_max,relief,elev_mean,elev_std,elev_median,OBJECTID.y,CREEK_CODE.y,SITE.y,area_sqkm.x,Rowid.y,slope_min,slope_max,slope_range,slope_mean,slope_std,slope_median,slope23d_perc_greater,area_greater_slope23d,COMID.x,CreekCode.x,REGIONID.x,WSAREASQKM,SANDWS,CLAYWS,ELEVWS,WETINDEXWS,KFFACTWS,AGKFFACTWS,BFIWS,PCTGLACLAKEFINEWS,PCTGLACTILCLAYWS,PCTGLACTILLOAMWS,PCTNONCARBRESIDWS,PCTCOASTCRSWS,PCTGLACLAKECRSWS,PCTEXTRUVOLWS,PCTEOLFINEWS,PCTEOLCRSWS,PCTGLACTILCRSWS,PCTSILICICWS,PCTSALLAKEWS,PCTCARBRESIDWS,PCTALLUVCOASTWS,PCTALKINTRUVOLWS,PCTWATERWS,PCTHYDRICWS,PCTCOLLUVSEDWS,RUNOFFWS,RDCRSWS,RDCRSSLPWTDWS,TMAX8110WS,TMIN8110WS,PRECIP8110WS,TMEAN8110WS,COMPSTRGTHWS,NWS,HYDRLCONDWS,MGOWS,K2OWS,AL2O3WS,NA2OWS,SIO2WS,CAOWS,P2O5WS,SWS,FE2O3WS,PERMWS,WTDEPWS,RCKDEPWS,OMWS,RDDENSWS,PRECIP08WS,TMEAN08WS,TMEAN09WS,PRECIP09WS,REGIONID.y,WSAREASQKMRP100,RDDENSWSRP100,stream_gradient,stream_slope,dom_geology,X.y.x,channel_freq,creek_code.x,reach_length_surveyed,OBJECTID.x.x,CREEK_CODE,SITE,area_sqkm.y,X.x.x.x,COMID.y,CreekCode.y,RL,VBA,SWA,CatArea,VBL,VBL_RL_R,VBA_RWA_R,inWtrbdy,Confinement,bankfull_mean,mean_ad,mean_cc,mean_ddi,X.y.y,site_id.x,survey_year.y,reach_length,frequency_km,aggr_pieces_km,aggr_perc_km,vol_km,site_id.y,high_flow_count,usgs_site,distance_m,distance_km,X.x.y,creek_code.y,site,survey_date,survey_type,channel_width,reach_length_bankfull,upstream_length,main_or_trib,X.y.y.y,OBJECTID.y.y,survey_year,QC_visit.y,survey_date2,survey_date3,bankfull_all_mean,relative_bankfull
1,CABER0002,2014,KNF BEAVER,2014-07-30,1,13,13,2015,2015CABER1002,N,yes,1,2014_CABER0002,1,7/30/2014,1.428,0.582,1.127,0.459,79.0164,1.085,0.495,0.103,0.047,9.470199585,77.086,35.567,0.054,0.025,0.069228376,0.407563025,0.456221198,0.461393768,2,CABER,Klamath,Klamath/Siskiyou,West Fork Beaver Creek,Siskiyou,"CA,OR",Klamath-Northern California Coastal,California Region,Klamath,Upper Klamath,300,36,36,193,27,256,12,12,64.33,9,85.33,4,19,58.92,755,766,2176,1410,1496.120809,310.6873019,1496,755,CABER,2,78.95337964,755,0,53.81516647,53.81516647,19.66305489,6.672020156,18.92342567,28.17374612,22.2441247329334,361629,CABER,Region18,81.3933,47.9480429470239,15.8325476298418,1481.0483,634.8332,0.2534,0,64.1957,0,0,0,0,0,0,0,0,0,0,77.28,0,22.72,0,0,0,0,0,94.9571,0.017,0.1197,13.9019853688,3.43733526459,1058.22230479,8.67207216965,87.9841,0.0431,0.1282,5.2586,1.1242,12.9847,2.0773,54.7745,6.1951,0.1772,0.1041,8.7862,8.04575903667747,178.395718234793,105.076454216748,1.96334155268308,2.672,816.028521304473,8.31965665623195,8.50058697947179,729.617441453912,Region18,10.782,2.8087,0.0270431,0.02440928,Metamorphic Schist,2408,1,CABER,200,755,CABER,2,78.95337964,16,361629,CABER,1.791,0,23143.39684,2423700,0,0,0,0,Confined,7.487,134.647657677866,63.178919043019,5.04211868127085,2015,CABER0002,2015,200,10,0,0,18.61,CABER0002,39,11517500,23957.718363812,23.957718363812,13,CABER,2,2015-06-20 09:13:10,Regular,0,0,0,,13,13,2015,N,2015-06-20,2015-06-20,8.030000000000001,0.9323785803237857
4,CABFH0040,2006,PIGEON,2006-09-02,2,31,31,2007,2007CABFH1040,N,yes,1,2006_CABFH0040,2,9/2/2006,8.073,6.091,4.22,3.184,52.3224,0.741,0.017,0.06,0.001,8.176199913,0,0,0,0,NA,0.754490276,0.02294197,NA,40,CABFH,Cascades,Klamath/Siskiyou,Big French Creek,Trinity,CA,Klamath-Northern California Coastal,California Region,Klamath,Trinity,105,1,21,23,26,50,0.95,20,21.9,24.76,47.62,26.68,170,608.4,665,609,2283,1674,1344.848966,311.0509691,1329,665,CABFH,40,52.2811073,665,0.337614715,49.19184113,48.85422641,28.05486248,6.860055606,28.80107117,78.79518301,41.1949941766895,8244020,CABFH,Region18,52.4871,44.7528189783775,16.1500058300039,1343.2876,575.9998,0.2735,0,58.5341,0,0,0,0,0,0,0,0,0,0,34.4,0,65.6,0,0,0,0,0,458,6e-4,0.0032,16.2433344097,4.29368051095,1318.75290886,10.2710879458,137.4302,0.0351,0.2468,5.4084,1.4288,11.0789,1.6991,58.3244,6.011,0.1726,0.0455,6.5816,5.81188720657076,178.936065090279,86.4498597369639,1.42215572969358,0.0928,1020.49658771854,10.0889030685941,10.0491280734047,975.173643306379,Region18,9.0954,0.0627,0.0384609,0.04464706,Melange,908,1,CABFH,280,665,CABFH,40,52.2811073,185,8244020,CABFH,2.32,0,32167.52223,2431800,0,0,0,0,Confined,10.291,146.971679755388,65.3852210121464,5.02807202018874,706,CABFH0040,2007,280,46.43,7.14,15.38,142.73,CABFH0040,4,11527000,14566.8042705367,14.5668042705367,31,CABFH,40,2007-06-14 00:00:00,Regular,13.16666985,280,280,MAINSTEM,31,31,2007,N,2007-06-14,2007-06-14,10.291,1
6,CABFH0054,2006,PIGEON,2006-09-02,2,32,32,2007,2007CABFH1054,N,yes,1,2006_CABFH0054,2,9/2/2006,5.649,4.262,4.22,3.184,74.7774,0.537,0.012,0.06,0.001,11.26119995,0,0,0,0,NA,0.754469818,0.022346369,NA,54,CABFH,Cascades,Klamath/Siskiyou,Big French Creek,Trinity,CA,Klamath-Northern California Coastal,California Region,Klamath,Trinity,105,21,12,38,19,78,20,11.43,36.19,18.1,74.29,1,28,268,661,543,2283,1740,1277.476653,315.9195642,1265,661,CABFH,54,74.7184502,661,0.337614715,49.19184113,48.85422641,27.992369,7.020424661,28.82189941,77.75193785,58.0950429619872,8244072,CABFH,Region18,74.7918,44.5069111453395,15.8824942841328,1277.8607,575.1309,0.2754,0,58.3635,0,0,0,0,0,0,0,0,0,0,24.14,0,75.86,0,0,0,0,0,458,0.0016,0.0144,16.6768077978,4.40578912754,1276.06984875,10.543897066,134.0347,0.0379,0.2083,4.5636,1.5089,10.7848,1.5671,59.619,5.849,0.1674,0.0453,6.0577,5.70342915934635,178.669008567784,86.1980310943178,1.47457233279584,0.1812,989.788740125063,10.370555181777,10.3509124241008,943.683830211176,Region18,12.4272,0.1577,0.03972571,0.02952649,Melange,909,2,CABFH,280,661,CABFH,54,74.7184502,189,8244072,CABFH,1.174,0,20924.89874,990900,0,0,0,0,Confined,12.672,150.860663353751,68.6616421438657,5.31340711349465,707,CABFH0054,2007,280,64.29,28.57,44.44,111.57,CABFH0054,1,11527000,13784.9283512367,13.7849283512367,32,CABFH,54,2007-06-17 00:00:00,Regular,12.600000380000001,280,280,MAINSTEM,32,32,2007,N,2007-06-17,2007-06-17,12.672,1
8,CABFH0069,2006,PIGEON,2006-09-02,2,34,34,2007,2007CABFH1069,N,yes,1,2006_CABFH0069,2,9/2/2006,5.716,4.313,4.22,3.184,73.9026,0.546,0.013,0.06,0.001,11.1079998,0,0,0,0,NA,0.754548635,0.023809524,NA,69,CABFH,Cascades,Klamath/Siskiyou,Big French Creek,Trinity,CA,Klamath-Northern California Coastal,California Region,Klamath,Trinity,105,11,18,22,22,55,10.48,17.14,20.95,20.95,52.38,5.52,140,670,662,567,2283,1716,1284.182394,311.4340514,1270,662,CABFH,69,73.84433773,662,0.337614715,49.19184113,48.85422641,28.006514,7.026865753,28.82883453,77.82690993,57.4707662135321,8244072,CABFH,Region18,74.7918,44.5069111453395,15.8824942841328,1277.8607,575.1309,0.2754,0,58.3635,0,0,0,0,0,0,0,0,0,0,24.14,0,75.86,0,0,0,0,0,458,0.0016,0.0144,16.6768077978,4.40578912754,1276.06984875,10.543897066,134.0347,0.0379,0.2083,4.5636,1.5089,10.7848,1.5671,59.619,5.849,0.1674,0.0453,6.0577,5.70342915934635,178.669008567784,86.1980310943178,1.47457233279584,0.1812,989.788740125063,10.370555181777,10.3509124241008,943.683830211176,Region18,12.4272,0.1577,0.035058825,0.02952649,Melange,910,1,CABFH,240,662,CABFH,69,73.84433773,188,8244072,CABFH,1.174,0,20924.89874,990900,0,0,0,0,Confined,15.345,150.831064033115,68.5566901120308,5.30267095205378,708,CABFH0069,2007,240,104.17,50,48,649.79,CABFH0069,2,11527000,14269.0478650025,14.2690478650025,34,CABFH,69,2007-06-16 00:00:00,Regular,11.53332996,240,240,MAINSTEM,34,34,2007,N,2007-06-16,2007-06-16,15.345,1
10,CABFH0071,2006,PIGEON,2006-09-02,2,36,36,2007,2007CABFH1071,N,yes,1,2006_CABFH0071,2,9/2/2006,5.723,4.318,4.22,3.184,73.7964,0.549,0.013,0.06,0.001,11.0461998,0,0,0,0,NA,0.754499388,0.023679417,NA,71,CABFH,Cascades,Klamath/Siskiyou,Big French Creek,Trinity,CA,Klamath-Northern California Coastal,California Region,Klamath,Trinity,105,5,8,29,32,66,4.76,7.62,27.62,30.48,62.86,13.36,155,420,663,579,2283,1704,1285.115497,310.6716671,1271,663,CABFH,71,73.73822119,663,0.337614715,49.19184113,48.85422641,28.00964077,7.023782987,28.83576965,77.8340957,57.3934776485023,8244032,CABFH,Region18,62.9694,44.6532557242089,16.0019912528943,1311.1374,575.1396,0.2739,0,58.4452,0,0,0,0,0,0,0,0,0,0,28.67,0,71.33,0,0,0,0,0,458,0.0019,0.0171,16.4654235867,4.35662529764,1292.09361871,10.4136994286,135.5349,0.0367,0.2253,4.9369,1.4735,10.9147,1.6255,59.047,5.9206,0.1697,0.0454,6.2892,5.76266200726067,178.811704970986,86.2990529685847,1.44665108767115,0.2093,1001.70251886462,10.2461767945821,10.2192426088646,954.856957396109,Region18,11.1348,0.176,0.034425229,0.04958549,Melange,911,1,CABFH,280,663,CABFH,71,73.73822119,187,8244032,CABFH,0.182,0,3723.65428,63000,0,0,0,0,Confined,13.9,150.819340001561,68.542605689353607,5.30080264608334,709,CABFH0071,2007,280,103.57,50,48.28,313.85,CABFH0071,0,11526500,14509.1963767357,14.5091963767357,36,CABFH,71,2007-06-19 00:00:00,Regular,13.93332958,280,280,MAINSTEM,36,36,2007,N,2007-06-19,2007-06-19,13.9,1
11,CACFD0004,1987,HOTELLING,1987-08-30,1,43,43,2011,2011CACFD1004,N,yes,24,1987_CACFD0004,1,8/30/1987,82.652,23.029,1.121,0.312,1.3581,86.238,13.324,0.195,0.03,0.226392001,97.078,1.119,0.054,0.001,0.055035337,0.278626047,0.154502655,0.011526813,4,CACFD,Klamath,Klamath/Siskiyou,Black Bear Creek-South Fork Salmon River,Siskiyou,CA,Klamath-Northern California Coastal,California Region,Klamath,Salmon,105,11,0,29,37,77,10.48,0,27.62,35.24,73.33,15,100,411.8,688,732,1403,671,1004.632145,143.4806253,982,688,CACFD,4,1.357027372,688,1.125250697,42.51634216,41.39109147,23.12354638,7.18519943,23.75010109,48.64507544,0.660126988850849,8258137,CACFD,Region18,1.8585,42.31,15.2,932.0353,577.8954,0.29,0,55,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,865,0,0,19.1241980583,5.04249427395,1047.0275737,12.0860529389,176.9452,0.0167,0.4141,6.715,1.1207,14.5549,2.7215,52.9157,7.455,0.2068,0.0436,8.9617,4.99,177.04,86.02,1.77,2.3198,862.923712232445,12.089126804891,12.4203884863438,800.080041002421,Region18,0.4401,1.4316,0.212739405,0.21224941, Igneous and Metamorphic,1623,1,CACFD,160,688,CACFD,4,1.357027372,229,8258137,CACFD,1.989,0,9641.60377,1858500,0,0,0,0,Confined,4.384,99.2702431523034,65.2637419090599,3.96476989422001,1294,CACFD0004,2011,160,68.75,25,36.36,164.4,CACFD0004,50,11523000,27947.3593853518,27.9473593853518,43,CACFD,4,2011-07-09 09:48:36,Regular,5.13,160,160,Tributary,43,43,2011,N,2011-07-09,2011-07-09,3.5465,1.236148315240378
12,CACFD0004,1987,HOTELLING,1987-08-30,1,3191,3191,2019,2019CACFD1004,N,yes,32,1987_CACFD0004,1,8/30/1987,82.652,23.029,1.121,0.312,1.3581,86.238,13.324,0.195,0.03,0.226392001,97.078,1.119,0.054,0.001,0.055035337,0.278626047,0.154502655,0.011526813,4,CACFD,Klamath,Klamath/Siskiyou,Black Bear Creek-South Fork Salmon River,Siskiyou,CA,Klamath-Northern California Coastal,California Region,Klamath,Salmon,300,14,0,246,30,290,4.67,0,82,10,96.67,8,21,57.16,688,732,1403,671,1004.632145,143.4806253,982,688,CACFD,4,1.357027372,688,1.125250697,42.51634216,41.39109147,23.12354638,7.18519943,23.75010109,48.64507544,0.660126988850849,8258137,CACFD,Region18,1.8585,42.31,15.2,932.0353,577.8954,0.29,0,55,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,865,0,0,19.1241980583,5.04249427395,1047.0275737,12.0860529389,176.9452,0.0167,0.4141,6.715,1.1207,14.5549,2.7215,52.9157,7.455,0.2068,0.0436,8.9617,4.99,177.04,86.02,1.77,2.3198,862.923712232445,12.089126804891,12.4203884863438,800.080041002421,Region18,0.4401,1.4316,0.212739405,0.21224941, Igneous and Metamorphic,3129,1,CACFD,160,688,CACFD,4,1.357027372,229,8258137,CACFD,1.989,0,9641.60377,1858500,0,0,0,0,Confined,2.709,105.55893258024,69.7269517991611,4.38038727985363,2667,CACFD0004,2019,160,93.75,37.5,40,131.2,CACFD0004,50,11523000,27947.3593853518,27.9473593853518,3191,CACFD,4,2019-05-31 00:00:00,Regular,0,0,0,NA,3191,3191,2019,N,2019-05-31,2019-05-31,3.5465,0.7638516847596222
13,CACFD0005,1987,GLASGOW,1987-08-30,1,44,44,2003,2003CACFD1005,N,yes,16,1987_CACFD0005,1,8/30/1987,39.119,20.859,14.215,7.58,36.3663,34.765,16.915,1.843,0.897,5.300280094,0,0,0,0,NA,0.533219152,0.486552567,NA,5,CACFD,Klamath,Klamath/Siskiyou,Black Bear Creek-South Fork Salmon River,Siskiyou,CA,Klamath-Northern California Coastal,California Region,Klamath,Salmon,116,18,25,29,23,70,15.52,21.55,25,19.83,60.34,1,54,354,693,559,1888,1329,1195.512856,271.5115127,1190,693,CACFD,5,36.33739052,693,0.477453768,46.348884580000004,45.87143081,25.6796699,7.917733556,26.37616348,63.4269393,23.0476946283244,8258099,CACFD,Region18,37.3266,44.9680177942808,15.2866641751459,1180.7114,575.674,0.2757,0,56.3653,0,0,0,0,0,0,0,0,0,0,41.27,0,58.73,0,0,0,0,0,865,0.0024,0.0082,17.4056531459,4.56260653021,1175.41923473,10.9866704009,147.217,0.0336,0.2588,3.6726,1.5399,12.3357,2.0488,58.8822,6.2906,0.1871,0.0392,6.6053,5.73939022037903,178.67642354246,85.3419802767999,1.4896689492212,0.9375,900.919671303653,11.0761466990223,11.2881866372677,836.45691941342,Region18,6.039,0.6832,0.05202639,0.03972615,Melange,163,1,CACFD,184,693,CACFD,5,36.33739052,228,8258099,CACFD,2.799,0,26524.27495,2597400,0,0,0,0,Confined,5.828,135.706443226439,63.7673281020409,4.83058070822821,120,CACFD0005,2003,184,5.43,0,0,2.94,CACFD0005,84,11523000,28615.0438406144,28.6150438406144,44,CACFD,5,2003-07-06 00:00:00,Regular,5.8000001900000004,184,184,TRIBUTARY,44,44,2003,N,2003-07-06,2003-07-06,6.4783333333333335,0.8996140982763057
14,CACFD0005,1987,GLASGOW,1987-08-30,1,45,45,2011,2011CACFD1005,N,yes,24,1987_CACFD0005,1,8/30/1987,39.119,20.859,14.215,7.58,36.3663,34.765,16.915,1.843,0.897,5.300280094,0,0,0,0,NA,0.533219152,0.486552567,NA,5,CACFD,Klamath,Klamath/Siskiyou,Black Bear Creek-South Fork Salmon River,Siskiyou,CA,Klamath-Northern California Coastal,California Region,Klamath,Salmon,105,12,25,27,27,66,11.43,23.81,25.71,25.71,62.86,6.64,65,260,693,559,1888,1329,1195.512856,271.5115127,1190,693,CACFD,5,36.33739052,693,0.477453768,46.348884580000004,45.87143081,25.6796699,7.917733556,26.37616348,63.4269393,23.0476946283244,8258099,CACFD,Region18,37.3266,44.9680177942808,15.2866641751459,1180.7114,575.674,0.2757,0,56.3653,0,0,0,0,0,0,0,0,0,0,41.27,0,58.73,0,0,0,0,0,865,0.0024,0.0082,17.4056531459,4.56260653021,1175.41923473,10.9866704009,147.217,0.0336,0.2588,3.6726,1.5399,12.3357,2.0488,58.8822,6.2906,0.1871,0.0392,6.6053,5.73939022037903,178.67642354246,85.3419802767999,1.4896689492212,0.9375,900.919671303653,11.0761466990223,11.2881866372677,836.45691941342,Region18,6.039,0.6832,0.05202639,0.03972615,Melange,1624,1,CACFD,184,693,CACFD,5,36.33739052,228,8258099,CACFD,2.799,0,26524.27495,2597400,0,0,0,0,Confined,8.665,135.903931951599,66.2937920275269,4.93925145340722,1295,CACFD0005,2011,184,16.3,10.87,66.67,19.46,CACFD0005,84,11523000,28615.0438406144,28.6150438406144,45,CACFD,5,2011-07-12 09:21:09,Regular,9.07,200,200,Mainstream,45,45,2011,N,2011-07-12,2011-07-12,6.4783333333333335,1.3375353743246718
15,CACFD0005,1987,GLASGOW,1987-08-30,1,3192,3192,2019,2019CACFD1005,N,yes,32,1987_CACFD0005,1,8/30/1987,39.119,20.859,14.215,7.58,36.3663,34.765,16.915,1.843,0.897,5.300280094,0,0,0,0,NA,0.533219152,0.486552567,NA,5,CACFD,Klamath,Klamath/Siskiyou,Black Bear Creek-South Fork Salmon River,Siskiyou,CA,Klamath-Northern California Coastal,California Region,Klamath,Salmon,300,28,17,159,81,268,9.33,5.67,53,27,89.33,8,40,133.64,693,559,1888,1329,1195.512856,271.5115127,1190,693,CACFD,5,36.33739052,693,0.477453768,46.348884580000004,45.87143081,25.6796699,7.917733556,26.37616348,63.4269393,23.0476946283244,8258099,CACFD,Region18,37.3266,44.9680177942808,15.2866641751459,1180.7114,575.674,0.2757,0,56.3653,0,0,0,0,0,0,0,0,0,0,41.27,0,58.73,0,0,0,0,0,865,0.0024,0.0082,17.4056531459,4.56260653021,1175.41923473,10.9866704009,147.217,0.0336,0.2588,3.6726,1.5399,12.3357,2.0488,58.8822,6.2906,0.1871,0.0392,6.6053,5.73939022037903,178.67642354246,85.3419802767999,1.4896689492212,0.9375,900.919671303653,11.0761466990223,11.2881866372677,836.45691941342,Region18,6.039,0.6832,0.05202639,0.03972615,Melange,3130,1,CACFD,184,693,CACFD,5,36.33739052,228,8258099,CACFD,2.799,0,26524.27495,2597400,0,0,0,0,Confined,4.942,138.486154744384,68.0566688967355,5.10168926451295,2668,CACFD0005,2019,184,5.43,0,0,2.6,CACFD0005,84,11523000,28615.0438406144,28.6150438406144,3192,CACFD,5,2019-06-03 00:00:00,Regular,0,0,0,NA,3192,3192,2019,N,2019-06-03,2019-06-03,6.4783333333333335,0.7628505273990224
